date,district_en,district_zh,assignment,source_station_codes,n_stations,n_stations_with_data,n_nonzero_stations,pct_nonzero_stations,rainfall_mm,wet_limit_mm,data_ok,is_rainy,prev_date,prev_rainfall_mm,prev_data_ok,prev_is_rainy,two_day_rainy,refreshed_at_utc
2024-01-01,Central and Western,中西區,located_in_district,VP1,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Eastern,東區,located_in_district,SKW,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Islands,離島區,located_in_district,"CCH,PEN,WGL",3,3,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Kowloon City,九龍城區,located_in_district,SE,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Kwai Tsing,葵青區,located_in_district,CPH,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Kwun Tong,觀塘區,reference_station,SE,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Lantau Island,大嶼山,located_in_district,HKA,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,North,北區,located_in_district,"SSH,TKL",2,2,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Sai Kung,西貢區,located_in_district,"JKB,KSC,TYW",3,3,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Sha Tin,沙田區,located_in_district,SHA,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Sham Shui Po,深水埗區,located_in_district,SSP,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Southern,南區,reference_station,VP1,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Tai Po,大埔區,located_in_district,PLC,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Tsuen Wan,荃灣區,located_in_district,"TMS,TWN",2,2,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Tuen Mun,屯門區,located_in_district,TU1,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Wan Chai,灣仔區,reference_station,VP1,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Wong Tai Sin,黃大仙區,located_in_district,TC,1,1,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Yau Tsim Mong,油尖旺區,located_in_district,"HKO,KP",2,2,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-01,Yuen Long,元朗區,located_in_district,"LFS,SEK,WLP",3,3,0,0.0,0.0,0.2,1,0,,,,,,2026-09-08T08:48:52Z
2024-01-02,Central and Western,中西區,located_in_district,VP1,1,1,0,0.0,0.0,0.2,1,0,2024-01-01,0.0,1,0,0,2026-09-08T08:48:52Z
2024-01-02,Eastern,東區,located_in_district,SKW,1,1,0,0.0,0.0,0.2,1,0,2024-01-01,0.0,1,0,0,2026-09-08T08:48:52Z
